"","values"
"1",0
"2",82.74
"3",82.74
"4",82.74
"5",82.74
"6",13.64
"7",15.72
"8",54.85
"9",15.72
"10",52.92
"11",13.79
"12",13.79
"13",13.79
"14",13.79
"15",13.79
"16",13.79
"17",13.18
"18",12.66
"19",13.79
"20",15.21
"21",54.35
"22",15.72
"23",15.72
"24",54.85
"25",54.85
"26",15.72
"27",60.69
"28",60.69
"29",61.68
"30",82.74
"31",63.4
"32",63.4
"33",63.4
"34",70.44
"35",6.7
"36",5.52
"37",4.5
"38",72.15
"39",4.5
"40",4.5
"41",4.06
"42",12.48
"43",12.52
"44",11.97
"45",12.81
"46",15.85
"47",17.12
"48",17.12
"49",15.54
"50",17.12
"51",15.27
"52",17.12
"53",17.12
"54",62.31
"55",15.43
"56",15.43
"57",15.43
"58",15.43
"59",55.84
"60",14.74
"61",15.43
"62",15.43
"63",14.23
"64",14.09
"65",15.43
"66",15.43
"67",15.43
"68",14.13
"69",15.43
"70",15.47
"71",17.12
"72",62.73
"73",62.73
"74",68.29
"75",68.64
"76",68.19
"77",67.71
"78",72.15
"79",72.15
"80",72.15
"81",72.15
"82",72.15
"83",310
"84",310
"85",310
"86",72.15
"87",8.6
"88",13.46
"89",4.85
"90",13.5
"91",60.67
"92",15.72
"93",13.95
"94",56.02
"95",15.21
"96",13.66
"97",13.28
